Year;Month;Mdate;Day;Sensor_ID;Time;Hourly_Counts
2017;December;12;Tuesday;15;6;110
2021;June;3;Thursday;5;21;117
2013;July;4;Thursday;8;0;7
2012;December;29;Saturday;7;10;141
2018;December;23;Sunday;46;6;5
2021;June;10;Thursday;52;12;104
2020;June;25;Thursday;65;14;234
2016;January;27;Wednesday;38;4;159
2021;December;12;Sunday;56;23;110
2017;November;24;Friday;25;11;1188
2011;December;27;Tuesday;7;1;0
2009;August;12;Wednesday;17;1;5
2020;August;4;Tuesday;43;15;37
2019;June;17;Monday;20;10;190
2011;December;1;Thursday;4;0;209
2013;October;27;Sunday;25;6;50
2021;January;21;Thursday;3;1;59
2014;May;2;Friday;9;14;673
2016;March;26;Saturday;37;7;11
2009;September;25;Friday;8;3;0
2021;January;26;Tuesday;2;9;132
2021;August;20;Friday;36;7;58
2014;July;23;Wednesday;25;6;305
2018;May;2;Wednesday;34;11;222
2018;June;20;Wednesday;9;7;2055
2010;April;12;Monday;16;16;1346
2016;April;22;Friday;8;17;449
2010;February;5;Friday;3;0;179
2020;April;22;Wednesday;61;18;166
2021;September;1;Wednesday;56;6;12
2021;September;1;Wednesday;41;6;50
