Sensor_ID;Name;Status
72;Flinders St- ACMI;A
13;Flagstaff Station;R
63;231 Bourke St;A
60;Flinders La - Swanston St (West) Temporary;R
18;Collins Place (North);A
7;Birrarung Marr;A
6;Flinders Street Station Underpass;A
5;Princes Bridge;A
14;Sandridge Bridge;R
71;Westwood Place;A
76;Macaulay Rd- Bellair St;A
73;Bourke St - Spencer St (South);A
84;Elizabeth St - Flinders St (East) - New footpath;A
30;Lonsdale St (South);A
20;Chinatown-Lt Bourke St (South);A
11;Waterfront City;A
29;St Kilda Rd-Alexandra Gardens;A
39;Alfred Place;A
65;Swanston St - City Square;A
23;Spencer St-Collins St (South);A
16;Australia on Collins;R
15;State Library;R
50;Faraday St-Lygon St (West);A
46;Pelham St (South);A
1;Bourke Street Mall (North);A
85;Macaulay Rd (North);A
41;Flinders La-Swanston St (West);A
52;Elizabeth St-Lonsdale St (South);A
43;Monash Rd-Swanston St (West);A
38;Flinders St-Swanston St (West);R
